year,commune,rate,n,reason,components
2010,Frisange,13.9974717,59,published,Frisange
2010,Garnich,,21,source suppressed,Garnich
2010,Goesdorf,,14,source suppressed,Goesdorf
2010,Grevenmacher,12.331509,166,published,Grevenmacher
2010,Groussbus-Wal,,16,component unavailable,Grosbous | Wahl
2010,Heffingen,,2,source suppressed,Heffingen
2010,Hesperange,14.276644599999997,837,published,Hesperange
2010,Habscht,,68,component unavailable,Hobscheid | Septfontaines
2010,Junglinster,14.519333,94,published,Junglinster
2010,Kayl,13.571282799999999,79,published,Kayl
2010,Kehlen,11.7208915,83,published,Kehlen
2010,Kiischpelt,,12,source suppressed,Kiischpelt
2010,Koerich,,25,source suppressed,Koerich
2010,Kopstal,14.384355,185,published,Kopstal
2010,Lac de la Haute-Sûre,,9,source suppressed,Lac de la Haute-Sûre
2010,Larochette,11.6797543,41,published,Larochette
2010,Lenningen,,26,source suppressed,Lenningen
2010,Leudelange,14.4604913,74,published,Leudelange
2010,Lintgen,12.3298154,50,published,Lintgen
2010,Lorentzweiler,13.3512798,116,published,Lorentzweiler
2010,Luxembourg,17.392359,7883,published,Luxembourg-Ville
2010,Mamer,13.8368556,534,published,Mamer
2010,Manternach,,15,source suppressed,Manternach
2010,Mersch,12.7301849,292,published,Mersch
2010,Mertert,11.285162300000001,96,published,Mertert
2010,Mertzig,,20,source suppressed,Mertzig
2010,Rosport-Mompach,,16,component unavailable,Mompach | Rosport
2010,Mondercange,13.676572,78,published,Mondercange
2010,Mondorf-les-Bains,12.9516049,132,published,Mondorf-les-Bains
2010,Niederanven,14.7019906,113,published,Niederanven
2010,Nommern,,4,source suppressed,Nommern
2010,Pétange,13.3842235,420,published,Pétange
2010,Préizerdaul,,1,source suppressed,Préizerdaul
2010,Putscheid,,8,source suppressed,Putscheid
2010,Rambrouch,,17,source suppressed,Rambrouch
2010,Reckange-sur-Mess,,21,source suppressed,Reckange-sur-Mess
2010,Redange/Attert,10.750919,37,published,Redange-sur-Attert
2010,Reisdorf,,25,source suppressed,Reisdorf
2010,Remich,13.985398200000002,202,published,Remich
2010,Roeser,13.462411,279,published,Roeser
2010,Rumelange,14.293455,32,published,Rumelange
2010,Saeul,,12,source suppressed,Saeul
2010,Sandweiler,15.1462976,109,published,Sandweiler
2010,Sanem,12.491706,162,published,Sanem
2010,Schieren,,7,source suppressed,Schieren
2010,Schifflange,13.0487839,92,published,Schifflange
2010,Schuttrange,12.918435,68,published,Schuttrange
2010,Stadtbredimus,,27,source suppressed,Stadtbredimus
2010,Steinfort,12.1185515,80,published,Steinfort
2010,Steinsel,13.5929506,86,published,Steinsel
2010,Strassen,16.6616676,646,published,Strassen
2010,Tandel,,2,source suppressed,Tandel
2010,Troisvierges,,18,source suppressed,Troisvierges
2010,Useldange,,11,source suppressed,Useldange
2010,Vianden,,8,source suppressed,Vianden
2010,Vichten,11.667685,36,published,Vichten
2010,Waldbillig,,11,source suppressed,Waldbillig
2010,Walferdange,14.121947,462,published,Walferdange
2010,Weiler-la-Tour,,23,source suppressed,Weiler-la-Tour
2010,Weiswampach,,29,source suppressed,Weiswampach
2010,Wincrange,,25,source suppressed,Wincrange
2010,Winseler,,26,source suppressed,Winseler
2010,Wormeldange,10.9394342,53,published,Wormeldange
2011,Käerjeng,,180,component unavailable,Bascharage | Clémency
2011,Beaufort,,25,source suppressed,Beaufort
2011,Bech,,8,source suppressed,Bech
2011,Beckerich,,28,source suppressed,Beckerich
2011,Berdorf,,12,source suppressed,Berdorf
2011,Bertrange,15.086770537899277,294,published,Bertrange
2011,Bettembourg,13.531154189025079,96,published,Bettembourg
2011,Bettendorf,,6,source suppressed,Bettendorf
2011,Betzdorf,13.922045975658177,55,published,Betzdorf
2011,Bissen,12.31687947820897,31,published,Bissen
2011,Biwer,,8,source suppressed,Biwer
2011,Helperknapp,,20,component unavailable,Boevange-sur-Attert | Tuntange
2011,Boulaide,,8,source suppressed,Boulaide
2011,Bourscheid,,14,source suppressed,Bourscheid
2011,Bous-Waldbredimus,,16,component unavailable,Bous | Waldbredimus
2011,Schengen,,100,component unavailable,Burmerange | Schengen | Wellenstein
2011,Clervaux,,130,component unavailable,Clervaux | Heinerscheid | Munshausen
2011,Colmar-Berg,11.828746827881911,36,published,Colmar-Berg
2011,Consdorf,,9,source suppressed,Consdorf
2011,Parc Hosingen,,18,component unavailable,Consthum | Hoscheid | Hosingen
2011,Contern,13.39351839111744,55,published,Contern
2011,Dalheim,,4,source suppressed,Dalheim
2011,Diekirch,11.628928559658977,138,published,Diekirch
2011,Differdange,13.91574509706336,409,published,Differdange
2011,Dippach,14.813816045381522,100,published,Dippach
2011,Dudelange,13.917879220063114,188,published,Dudelange
2011,Echternach,12.934801758490053,106,published,Echternach
2011,Ell,,12,source suppressed,Ell
2011,Vallée de l'Ernz,,24,component unavailable,Ermsdorf | Medernach
2011,Erpeldange-sur-Sûre,,29,source suppressed,Erpeldange
2011,Esch-sur-Alzette,14.757758785427084,1022,published,Esch-sur-Alzette
2011,Esch-sur-Sûre,,27,component unavailable,Esch-sur-Sûre | Heiderscheid | Neunhausen
2011,Wiltz,,100,component unavailable,Eschweiler | Wiltz
2011,Ettelbruck,12.202544017139434,188,published,Ettelbruck
2011,Feulen,,15,source suppressed,Feulen
2011,Fischbach,,12,source suppressed,Fischbach
2011,Flaxweiler,,12,source suppressed,Flaxweiler
2011,Frisange,13.046014512366982,58,published,Frisange
2011,Garnich,,15,source suppressed,Garnich
2011,Goesdorf,,8,source suppressed,Goesdorf
2011,Grevenmacher,12.685530172148336,104,published,Grevenmacher
2011,Groussbus-Wal,,18,component unavailable,Grosbous | Wahl
2011,Heffingen,,9,source suppressed,Heffingen
2011,Hesperange,14.887611585154374,743,published,Hesperange
2011,Habscht,,84,component unavailable,Hobscheid | Septfontaines
2011,Junglinster,15.147897427613033,74,published,Junglinster
2011,Kayl,14.542830640236083,70,published,Kayl
2011,Kehlen,12.889320511114102,49,published,Kehlen
2011,Kiischpelt,,7,source suppressed,Kiischpelt
2011,Koerich,,9,source suppressed,Koerich
2011,Kopstal,15.297208688691812,63,published,Kopstal
2011,Lac de la Haute-Sûre,,15,source suppressed,Lac de la Haute-Sûre
2011,Larochette,,28,source suppressed,Larochette
2011,Lenningen,,22,source suppressed,Lenningen
2011,Leudelange,14.535365839353807,48,published,Leudelange
2011,Lintgen,,26,source suppressed,Lintgen
2011,Lorentzweiler,14.223330979944677,67,published,Lorentzweiler
2011,Luxembourg,18.478135186926828,6723,published,Luxembourg-Ville
2011,Mamer,14.002066335524662,398,published,Mamer
2011,Manternach,,11,source suppressed,Manternach
2011,Mersch,13.162418973070055,192,published,Mersch
2011,Mertert,11.869260304536281,70,published,Mertert
2011,Mertzig,,4,source suppressed,Mertzig
2011,Rosport-Mompach,,12,component unavailable,Mompach | Rosport
2011,Mondercange,14.67817046620749,86,published,Mondercange
2011,Mondorf-les-Bains,13.254118496054828,114,published,Mondorf-les-Bains
2011,Niederanven,15.69637462729296,65,published,Niederanven
2011,Nommern,,11,source suppressed,Nommern
2011,Pétange,13.98454152719454,291,published,Pétange
2011,Préizerdaul,,4,source suppressed,Préizerdaul
2011,Putscheid,,5,source suppressed,Putscheid
2011,Rambrouch,,15,source suppressed,Rambrouch
2011,Reckange-sur-Mess,,22,source suppressed,Reckange-sur-Mess
2011,Redange/Attert,11.66950343758549,48,published,Redange-sur-Attert
2011,Reisdorf,,13,source suppressed,Reisdorf
2011,Remich,13.84532133473582,134,published,Remich
2011,Roeser,14.014683389907075,115,published,Roeser
2011,Rumelange,,20,source suppressed,Rumelange
2011,Saeul,,13,source suppressed,Saeul
2011,Sandweiler,14.587795954354457,103,published,Sandweiler
2011,Sanem,12.618088613435189,146,published,Sanem
2011,Schieren,,11,source suppressed,Schieren
2011,Schifflange,14.886071824897018,110,published,Schifflange
2011,Schuttrange,14.973053246135477,66,published,Schuttrange
2011,Stadtbredimus,,20,source suppressed,Stadtbredimus
2011,Steinfort,14.360103450694652,57,published,Steinfort
2011,Steinsel,14.081702589374824,120,published,Steinsel
2011,Strassen,17.477002034592935,467,published,Strassen
2011,Tandel,,0,source suppressed,Tandel
2011,Troisvierges,,23,source suppressed,Troisvierges
2011,Useldange,,5,source suppressed,Useldange
2011,Vianden,,5,source suppressed,Vianden
2011,Vichten,,29,source suppressed,Vichten
2011,Waldbillig,,8,source suppressed,Waldbillig
2011,Walferdange,14.252128408135102,329,published,Walferdange
2011,Weiler-la-Tour,,20,source suppressed,Weiler-la-Tour
2011,Weiswampach,,18,source suppressed,Weiswampach
2011,Wincrange,,17,source suppressed,Wincrange
2011,Winseler,,27,source suppressed,Winseler
2011,Wormeldange,11.239094887586482,46,published,Wormeldange
2012,Beaufort,13.32837,30,published,Beaufort
2012,Bech,,3,source suppressed,Bech
2012,Beckerich,,16,source suppressed,Beckerich
2012,Berdorf,,15,source suppressed,Berdorf
2012,Bertrange,16.28477,145,published,Bertrange
2012,Bettembourg,13.10785,85,published,Bettembourg
2012,Bettendorf,,16,source suppressed,Bettendorf
2012,Betzdorf,,18,source suppressed,Betzdorf
2012,Bissen,14.594159999999999,41,published,Bissen
2012,Biwer,,5,source suppressed,Biwer
2012,Helperknapp,,23,component unavailable,Boevange-sur-Attert | Tuntange
2012,Boulaide,,1,source suppressed,Boulaide
2012,Bourscheid,,28,source suppressed,Bourscheid
2012,Bous-Waldbredimus,,26,component unavailable,Bous | Waldbredimus
2012,Clervaux,11.768150000000002,90,published,Clervaux
2012,Colmar-Berg,12.78794,42,published,Colmar-Berg
2012,Consdorf,,6,source suppressed,Consdorf
2012,Contern,,21,source suppressed,Contern
2012,Dalheim,,5,source suppressed,Dalheim
2012,Diekirch,13.51644,237,published,Diekirch
2012,Differdange,15.23383,243,published,Differdange
2012,Dippach,15.74502,45,published,Dippach
2012,Dudelange,15.272319999999999,173,published,Dudelange
2012,Echternach,13.05121,54,published,Echternach
2012,Ell,,15,source suppressed,Ell
2012,Erpeldange-sur-Sûre,12.07727,47,published,Erpeldange
2012,Esch-sur-Alzette,16.07667,751,published,Esch-sur-Alzette
2012,Esch-sur-Sûre,,26,source suppressed,Esch-sur-Sûre
2012,Wiltz,,79,component unavailable,Eschweiler | Wiltz
2012,Ettelbruck,12.99538,177,published,Ettelbruck
2012,Feulen,,10,source suppressed,Feulen
2012,Fischbach,,26,source suppressed,Fischbach
2012,Flaxweiler,,5,source suppressed,Flaxweiler
2012,Frisange,14.00508,37,published,Frisange
2012,Garnich,,5,source suppressed,Garnich
2012,Goesdorf,,11,source suppressed,Goesdorf
2012,Grevenmacher,13.19734,61,published,Grevenmacher
2012,Groussbus-Wal,,5,component unavailable,Grosbous | Wahl
2012,Heffingen,,4,source suppressed,Heffingen
2012,Hesperange,15.202970000000002,359,published,Hesperange
2012,Habscht,,57,component unavailable,Hobscheid | Septfontaines
2012,Junglinster,15.089009999999998,36,published,Junglinster
2012,Käerjeng,13.38376,132,published,Kaerjeng
2012,Kayl,14.72853,53,published,Kayl
2012,Kehlen,13.04774,35,published,Kehlen
2012,Kiischpelt,,6,source suppressed,Kiischpelt
2012,Koerich,,14,source suppressed,Koerich
2012,Kopstal,16.60165,66,published,Kopstal
2012,Lac de la Haute-Sûre,,15,source suppressed,Lac de la Haute-Sûre
2012,Larochette,,28,source suppressed,Larochette
2012,Lenningen,,5,source suppressed,Lenningen
2012,Leudelange,14.932830000000001,38,published,Leudelange
2012,Lintgen,,21,source suppressed,Lintgen
2012,Lorentzweiler,13.76583,47,published,Lorentzweiler
2012,Luxembourg,18.93309,3947,published,Luxembourg
2012,Mamer,13.8128,140,published,Mamer
2012,Manternach,,16,source suppressed,Manternach
2012,Mersch,13.15081,177,published,Mersch
2012,Mertert,12.63547,37,published,Mertert
2012,Mertzig,,5,source suppressed,Mertzig
2012,Rosport-Mompach,,8,component unavailable,Mompach | Rosport
2012,Mondercange,14.60926,47,published,Mondercange
2012,Mondorf-les-Bains,15.87208,153,published,Mondorf-les-Bains
2012,Niederanven,18.32952,94,published,Niederanven
2012,Nommern,,4,source suppressed,Nommern
2012,Parc Hosingen,,10,source suppressed,Parc Hosingen
2012,Pétange,15.75968,285,published,Petange
2012,Préizerdaul,,15,source suppressed,Préizerdaul
2012,Putscheid,,12,source suppressed,Putscheid
2012,Rambrouch,,13,source suppressed,Rambrouch
2012,Reckange-sur-Mess,,12,source suppressed,Reckange-sur-Mess
2012,Redange/Attert,13.36489,35,published,Redange-sur-Attert
2012,Reisdorf,,15,source suppressed,Reisdorf
2012,Remich,14.81872,95,published,Remich
2012,Roeser,13.988589999999999,77,published,Roeser
2012,Rumelange,,24,source suppressed,Rumelange
2012,Saeul,,13,source suppressed,Saeul
2012,Sandweiler,15.035530000000001,54,published,Sandweiler
2012,Sanem,14.2661,121,published,Sanem
2012,Schengen,13.19362,67,published,Schengen
2012,Schieren,,15,source suppressed,Schieren
2012,Schifflange,14.76431,51,published,Schifflange
2012,Schuttrange,14.322,38,published,Schuttrange
2012,Stadtbredimus,,15,source suppressed,Stadtbredimus
2012,Steinfort,13.9897,34,published,Steinfort
2012,Steinsel,14.037999999999998,78,published,Steinsel
2012,Strassen,18.32835,261,published,Strassen
2012,Tandel,,8,source suppressed,Tandel
2012,Troisvierges,,17,source suppressed,Troisvierges
2012,Useldange,,1,source suppressed,Useldange
2012,Vallée de l'Ernz,,15,source suppressed,Vallée de l'Ernz
2012,Vianden,,10,source suppressed,Vianden
2012,Vichten,,18,source suppressed,Vichten
2012,Waldbillig,,10,source suppressed,Waldbillig
2012,Walferdange,15.08405,158,published,Walferdange
2012,Weiler-la-Tour,,19,source suppressed,Weiler-la-Tour
2012,Weiswampach,,8,source suppressed,Weiswampach
2012,Wincrange,,12,source suppressed,Wincrange
2012,Winseler,,28,source suppressed,Winseler
2012,Wormeldange,11.53682,43,published,Wormeldange
2013,Beaufort,,23,source suppressed,Beaufort
2013,Bech,,0,source suppressed,Bech
2013,Beckerich,,4,source suppressed,Beckerich
2013,Berdorf,,11,source suppressed,Berdorf
2013,Bertrange,17.2802418845006,84,published,Bertrange
2013,Bettembourg,15.527338900447202,52,published,Bettembourg
2013,Bettendorf,,15,source suppressed,Bettendorf
2013,Betzdorf,,21,source suppressed,Betzdorf
2013,Bissen,,24,source suppressed,Bissen
2013,Biwer,,1,source suppressed,Biwer
2013,Helperknapp,,16,component unavailable,Boevange-sur-Attert | Tuntange
2013,Boulaide,,3,source suppressed,Boulaide
2013,Bourscheid,12.6436418435032,30,published,Bourscheid
2013,Bous-Waldbredimus,,24,component unavailable,Bous | Waldbredimus
2013,Clervaux,11.925289751859,51,published,Clervaux
2013,Colmar-Berg,13.0115058143715,39,published,Colmar-Berg
2013,Consdorf,,2,source suppressed,Consdorf
2013,Contern,,17,source suppressed,Contern
2013,Dalheim,,6,source suppressed,Dalheim
2013,Diekirch,13.7919391539341,191,published,Diekirch
2013,Differdange,15.1844465877147,229,published,Differdange
2013,Dippach,,29,source suppressed,Dippach
2013,Dudelange,15.2985767393518,118,published,Dudelange
2013,Echternach,12.6134155020134,40,published,Echternach
2013,Ell,,9,source suppressed,Ell
2013,Erpeldange-sur-Sûre,,19,source suppressed,Erpeldange
2013,Esch-sur-Alzette,16.4312502879233,515,published,Esch-sur-Alzette
2013,Esch-sur-Sûre,,17,source suppressed,Esch-sur-Sûre
2013,Wiltz,,58,component unavailable,Eschweiler | Wiltz
2013,Ettelbruck,12.9220394013978,159,published,Ettelbruck
2013,Feulen,,4,source suppressed,Feulen
2013,Fischbach,13.5514605971811,30,published,Fischbach
2013,Flaxweiler,,4,source suppressed,Flaxweiler
2013,Frisange,15.7776153857427,30,published,Frisange
2013,Garnich,,8,source suppressed,Garnich
2013,Goesdorf,,9,source suppressed,Goesdorf
2013,Grevenmacher,13.7296125574768,59,published,Grevenmacher
2013,Groussbus-Wal,,7,component unavailable,Grosbous | Wahl
2013,Heffingen,,8,source suppressed,Heffingen
2013,Hesperange,16.4873647911975,224,published,Hesperange
2013,Habscht,,29,component unavailable,Hobscheid | Septfontaines
2013,Junglinster,,29,source suppressed,Junglinster
2013,Käerjeng,13.513905200201,89,published,Kaerjeng
2013,Kayl,17.6554197928978,43,published,Kayl
2013,Kehlen,,11,source suppressed,Kehlen
2013,Kiischpelt,,5,source suppressed,Kiischpelt
2013,Koerich,,1,source suppressed,Koerich
2013,Kopstal,17.450348220001697,60,published,Kopstal
2013,Lac de la Haute-Sûre,,6,source suppressed,Lac de la Haute-Sûre
2013,Larochette,,14,source suppressed,Larochette
2013,Lenningen,,5,source suppressed,Lenningen
2013,Leudelange,16.1536066700831,46,published,Leudelange
2013,Lintgen,,17,source suppressed,Lintgen
2013,Lorentzweiler,,15,source suppressed,Lorentzweiler
2013,Luxembourg,21.1363031519408,2719,published,Luxembourg
2013,Mamer,16.8805591720291,77,published,Mamer
2013,Manternach,,7,source suppressed,Manternach
2013,Mersch,13.4254973341849,133,published,Mersch
2013,Mertert,,21,source suppressed,Mertert
2013,Mertzig,,5,source suppressed,Mertzig
2013,Rosport-Mompach,,3,component unavailable,Mompach | Rosport
2013,Mondercange,18.6628117057778,32,published,Mondercange
2013,Mondorf-les-Bains,15.2091200107846,58,published,Mondorf-les-Bains
2013,Niederanven,18.6684633368664,63,published,Niederanven
2013,Nommern,,16,source suppressed,Nommern
2013,Parc Hosingen,,18,source suppressed,Parc Hosingen
2013,Pétange,16.1896522292756,201,published,Petange
2013,Préizerdaul,,8,source suppressed,Préizerdaul
2013,Putscheid,,14,source suppressed,Putscheid
2013,Rambrouch,,11,source suppressed,Rambrouch
2013,Reckange-sur-Mess,,11,source suppressed,Reckange-sur-Mess
2013,Redange/Attert,,15,source suppressed,Redange-sur-Attert
2013,Reisdorf,,28,source suppressed,Reisdorf
2013,Remich,14.7787512102573,64,published,Remich
2013,Roeser,15.4912406841163,74,published,Roeser
2013,Rumelange,,17,source suppressed,Rumelange
2013,Saeul,,9,source suppressed,Saeul
2013,Sandweiler,,24,source suppressed,Sandweiler
2013,Sanem,15.283207961856402,122,published,Sanem
2013,Schengen,12.7574006783541,30,published,Schengen
2013,Schieren,,12,source suppressed,Schieren
2013,Schifflange,14.8648283490566,68,published,Schifflange
2013,Schuttrange,,13,source suppressed,Schuttrange
2013,Stadtbredimus,,14,source suppressed,Stadtbredimus
2013,Steinfort,,20,source suppressed,Steinfort
2013,Steinsel,,27,source suppressed,Steinsel
2013,Strassen,19.218153319767,144,published,Strassen
2013,Tandel,,4,source suppressed,Tandel
2013,Troisvierges,,14,source suppressed,Troisvierges
2013,Useldange,,4,source suppressed,Useldange
2013,Vallée de l'Ernz,,6,source suppressed,Vallée de l'Ernz
2013,Vianden,,8,source suppressed,Vianden
2013,Vichten,,13,source suppressed,Vichten
2013,Waldbillig,,3,source suppressed,Waldbillig
2013,Walferdange,16.3952639167952,92,published,Walferdange
2013,Weiler-la-Tour,,9,source suppressed,Weiler-la-Tour
2013,Weiswampach,,20,source suppressed,Weiswampach
2013,Wincrange,,7,source suppressed,Wincrange
2013,Winseler,,11,source suppressed,Winseler
2013,Wormeldange,,27,source suppressed,Wormeldange
2014,Beaufort,,12,source suppressed,Beaufort
2014,Bech,,0,source suppressed,Bech
2014,Beckerich,,2,source suppressed,Beckerich
2014,Berdorf,,5,source suppressed,Berdorf
2014,Bertrange,19.239813707394635,87,published,Bertrange
2014,Bettembourg,16.007830527902993,40,published,Bettembourg
2014,Bettendorf,,9,source suppressed,Bettendorf
2014,Betzdorf,,13,source suppressed,Betzdorf
2014,Bissen,,11,source suppressed,Bissen
2014,Biwer,,2,source suppressed,Biwer
2014,Helperknapp,,11,component unavailable,Boevange-sur-Attert | Tuntange
2014,Boulaide,,1,source suppressed,Boulaide
2014,Bourscheid,,18,source suppressed,Bourscheid
2014,Bous-Waldbredimus,,13,component unavailable,Bous | Waldbredimus
2014,Clervaux,11.952898247748012,38,published,Clervaux
2014,Colmar-Berg,,23,source suppressed,Colmar-Berg
2014,Consdorf,,1,source suppressed,Consdorf
2014,Contern,,15,source suppressed,Contern
2014,Dalheim,,8,source suppressed,Dalheim
2014,Diekirch,13.60981274510002,145,published,Diekirch
